#,RSO Name,Category,Description,Blueprint URL
53,Camp Kesem at University of Chicago,Service & Philanthropy,Runs a free summer camp for children whose parents have or had cancer.,https://blueprint.uchicago.edu/organization/camp-kesem
54,Campus Catalyst,Service & Philanthropy,Encourages student civic engagement and community-based action.,https://blueprint.uchicago.edu/organization/campus-catalyst
55,Cana,Spiritual & Religious,Catholic student organization offering community and faith formation.,https://blueprint.uchicago.edu/organization/cana
56,Catcher in the Rhyme,Arts & Music,Student poetry and spoken word performance group.,https://blueprint.uchicago.edu/organization/catcher
57,Catholic Students Association,Spiritual & Religious,Community and faith formation for Catholic undergraduate students.,https://blueprint.uchicago.edu/organization/csa
58,Catholic Students Association for Graduate and Professional Students,Spiritual & Religious,Catholic faith community for graduate and professional students at UChicago.,https://blueprint.uchicago.edu/organization/csa-grad
59,Center for Leadership and Involvement,Campus Governance,University office supporting and advising RSOs and student leadership.,https://blueprint.uchicago.edu/organization/cli
60,Central Asian Students Association,Cultural & International,Celebrates Central Asian cultures and builds community among students from the region.,https://blueprint.uchicago.edu/organization/casa
61,Central Asian Studies Society,Academic & Professional,"Academic group focused on Central Asian history, politics, and culture.",https://blueprint.uchicago.edu/organization/cass
62,Chabad,Spiritual & Religious,Jewish outreach organization offering Shabbat dinners and Jewish programming.,https://blueprint.uchicago.edu/organization/chabad
63,Charles River Economics Labs,Academic & Professional,Student economics research group conducting applied economic analysis.,https://blueprint.uchicago.edu/organization/crel
64,Cheerleading,Sports & Recreation,Supports UChicago athletics through spirit and performance routines.,https://blueprint.uchicago.edu/organization/cheerleading
65,Chemistry Society (Benzene),Academic & Professional,Community for chemistry students with academic and social programming.,https://blueprint.uchicago.edu/organization/benzene
66,Chess Club,Social & Recreation,Recreational and competitive chess for all skill levels.,https://blueprint.uchicago.edu/organization/chess
67,Chicago Debate Society,Academic & Professional,Competitive debate organization participating in parliamentary and policy formats.,https://blueprint.uchicago.edu/organization/debate
68,Chicago Economics Forum,Academic & Professional,"Hosts discussions on economics, policy, and related topics.",https://blueprint.uchicago.edu/organization/chicago-econ-forum
69,Chicago Italian Appreciation Organization,Cultural & International,"Promotes Italian culture, language, and community at UChicago.",https://blueprint.uchicago.edu/organization/ciao
70,Chicago Journal of Foreign Policy,Academic & Professional,Student-run publication covering international relations and foreign policy.,https://blueprint.uchicago.edu/organization/cjfp
71,Chicago Journal of Sociology,Academic & Professional,Student journal publishing undergraduate sociological research and essays.,https://blueprint.uchicago.edu/organization/cjs
72,Chicago Justice Initiative,Political & Social,Advocates for criminal justice reform and equitable legal systems.,https://blueprint.uchicago.edu/organization/cji
73,Chicago Linguistic Society,Academic & Professional,Academic organization for linguistics students and language enthusiasts.,https://blueprint.uchicago.edu/organization/cls
74,Chicago Luxury and Retail Association,Academic & Professional,Explores the luxury goods industry and retail business.,https://blueprint.uchicago.edu/organization/clra
75,Chicago Raas Team,Arts & Music,Competitive Gujarati folk dance team performing Raas and Garba.,https://blueprint.uchicago.edu/organization/chicago-raas
76,Chicago Shady Dealer,Arts & Music,UChicago's satirical campus newspaper and humor publication.,https://blueprint.uchicago.edu/organization/shady-dealer
77,Chicago Street Medicine,Health & Wellness,Provides direct medical care to homeless and underserved populations in Chicago.,https://blueprint.uchicago.edu/organization/street-medicine
78,Chicago Studies,Academic & Professional,"Interdisciplinary academic group studying Chicago's history, culture, and society.",https://blueprint.uchicago.edu/organization/chicago-studies
79,Chicago Swing Dance Society,Arts & Music,Teaches and performs Lindy Hop and other swing dance styles.,https://blueprint.uchicago.edu/organization/swing
80,Chinese Student Christian Fellowship,Spiritual & Religious,Christian fellowship for Chinese and Chinese American students.,https://blueprint.uchicago.edu/organization/cscf
81,Chinese Students and Scholars Association,Cultural & International,Supports Chinese students and scholars and promotes Chinese culture.,https://blueprint.uchicago.edu/organization/cssa
82,Chinese Undergraduate Students Association,Cultural & International,Community for Chinese undergraduate students at UChicago.,https://blueprint.uchicago.edu/organization/cusa
83,Christians on Campus,Spiritual & Religious,Nondenominational Christian fellowship for undergraduate students.,https://blueprint.uchicago.edu/organization/coc
84,CityStep UChicago,Service & Philanthropy,Teaches dance to Chicago elementary school students through outreach programs.,https://blueprint.uchicago.edu/organization/citystep
85,Classical Lecture Society,Academic & Professional,Hosts lectures and discussions on classical antiquity and ancient history.,https://blueprint.uchicago.edu/organization/classical-lecture
86,College Bowl Team,Academic & Professional,Competitive academic quiz bowl team.,https://blueprint.uchicago.edu/organization/college-bowl
87,College Council,Campus Governance,Undergraduate student governance body for college students.,https://blueprint.uchicago.edu/organization/college-council
88,College Republicans,Political & Social,Conservative student political organization on campus.,https://blueprint.uchicago.edu/organization/college-republicans
89,Colombians at UChicago,Cultural & International,Celebrates Colombian culture and connects Colombian students at UChicago.,https://blueprint.uchicago.edu/organization/colombians
90,Comer Tutors,Service & Philanthropy,Provides academic tutoring to youth in Chicago's South Side communities.,https://blueprint.uchicago.edu/organization/comer-tutors
91,Commedia dell'Arte,Arts & Music,Performs Italian comedic theatrical tradition of Commedia dell'Arte.,https://blueprint.uchicago.edu/organization/commedia
92,Community Health Initiative,Health & Wellness,Promotes health education and wellness resources for campus and community.,https://blueprint.uchicago.edu/organization/chi
93,Council On University Programming,Campus Governance,Plans and executes large-scale campus-wide social and entertainment events.,https://blueprint.uchicago.edu/organization/coup
94,Crew,Sports & Recreation,Collegiate rowing team competing in regattas.,https://blueprint.uchicago.edu/organization/crew
95,Critical Understanding of Liturgies and Traditions,Spiritual & Religious,Interfaith dialogue and exploration of religious practices.,https://blueprint.uchicago.edu/organization/cult
96,CS Student Activities Council,Academic & Professional,Plans academic and social programming for computer science students.,https://blueprint.uchicago.edu/organization/cs-sac
97,Cup of Theater,Arts & Music,Student improv and sketch comedy group.,https://blueprint.uchicago.edu/organization/cup-of-theater
98,Dance Council,Arts & Music,Umbrella organization coordinating UChicago's many dance groups.,https://blueprint.uchicago.edu/organization/dance-council
99,Data Science Society,Academic & Professional,Promotes data science education and projects among students.,https://blueprint.uchicago.edu/organization/dss
100,Dear Asian Youth,Political & Social,Amplifies Asian youth voices on social justice and community issues.,https://blueprint.uchicago.edu/organization/day
101,Defenders,Political & Social,Student organization focused on criminal defense and public defender work.,https://blueprint.uchicago.edu/organization/defenders
102,Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,Academic & Professional,Co-ed professional business fraternity for business and economics students.,https://blueprint.uchicago.edu/organization/dsp
103,Derivatives of Data Science,Academic & Professional,Applies data science methods to finance and economic research.,https://blueprint.uchicago.edu/organization/dods
104,Dirt Red Brass Band,Arts & Music,Student brass marching and street band performing at campus events.,https://blueprint.uchicago.edu/organization/dirt-red
105,Documentary Films,Arts & Music,Produces and screens documentary films on social and cultural topics.,https://blueprint.uchicago.edu/organization/documentary
106,DoGS Lunch,Academic & Professional,Lunch series for doctoral students across disciplines.,https://blueprint.uchicago.edu/organization/dogs
107,East African Student Association,Cultural & International,Celebrates East African cultures and builds community among East African students.,https://blueprint.uchicago.edu/organization/easa
108,Eckhart Consulting,Academic & Professional,Student consulting group focused on quantitative and analytical projects.,https://blueprint.uchicago.edu/organization/eckhart
109,Edge Entrepreneurship,Academic & Professional,Supports student entrepreneurs through mentorship and resources.,https://blueprint.uchicago.edu/organization/edge
110,Edmund Burke Society,Political & Social,Conservative intellectual discussion group on politics and society.,https://blueprint.uchicago.edu/organization/burke
111,Electrochemical Society,Academic & Professional,Student chapter advancing electrochemistry and materials science.,https://blueprint.uchicago.edu/organization/ecs
112,Emergency Medical Services,Health & Wellness,Student-run EMS organization providing emergency medical response on campus.,https://blueprint.uchicago.edu/organization/ems
113,Engineering Society,Academic & Professional,Community and resources for engineering students at UChicago.,https://blueprint.uchicago.edu/organization/engineering
114,ENoK - Empowerment/Emancipation of North Koreans,Political & Social,Raises awareness about North Korean human rights and supports defectors.,https://blueprint.uchicago.edu/organization/enok
115,Environmental Justice Task Force,Political & Social,Advocates for environmental justice and equitable climate policy.,https://blueprint.uchicago.edu/organization/ejtf
116,Environmental Law Society,Academic & Professional,Law student organization focused on environmental law and policy.,https://blueprint.uchicago.edu/organization/els
117,Environmental Research Group,Academic & Professional,Conducts and promotes student environmental research.,https://blueprint.uchicago.edu/organization/erg
118,Equestria,Social & Recreation,Equestrian club for horseback riding and horse care enthusiasts.,https://blueprint.uchicago.edu/organization/equestria
119,Ethics Bowl,Academic & Professional,Competitive team analyzing ethical dilemmas in a structured format.,https://blueprint.uchicago.edu/organization/ethics-bowl
120,Euphony Journal,Arts & Music,Student journal publishing poetry and creative writing.,https://blueprint.uchicago.edu/organization/euphony
121,Everest Society,Social & Recreation,Outdoor exploration and adventure club.,https://blueprint.uchicago.edu/organization/everest
122,EX Crew,Arts & Music,Street dance and hip-hop performance crew.,https://blueprint.uchicago.edu/organization/ex-crew
123,Federalist Society,Political & Social,Conservative and libertarian law student organization.,https://blueprint.uchicago.edu/organization/fed-soc
124,Fellowship of Christian Athletes,Spiritual & Religious,Christian community for student athletes.,https://blueprint.uchicago.edu/organization/fca
125,Feminist Forum,Political & Social,Discusses feminist theory and advocates for gender equity.,https://blueprint.uchicago.edu/organization/feminist-forum
126,Fencing Club,Sports & Recreation,Competitive and recreational fencing for all skill levels.,https://blueprint.uchicago.edu/organization/fencing
127,Festival of the Arts,Arts & Music,Annual arts festival showcasing student creative talent.,https://blueprint.uchicago.edu/organization/fota
128,Field Hockey,Sports & Recreation,Collegiate club field hockey team.,https://blueprint.uchicago.edu/organization/field-hockey
129,Fire Escape Films,Arts & Music,Student film production organization making short films and features.,https://blueprint.uchicago.edu/organization/fire-escape
130,Firebird Magazine,Arts & Music,Student literary and visual arts magazine.,https://blueprint.uchicago.edu/organization/firebird
131,Folklore Society,Academic & Professional,"Studies and celebrates folklore, mythology, and oral traditions.",https://blueprint.uchicago.edu/organization/folklore
132,Food Recovery Network,Service & Philanthropy,Recovers surplus food from campus dining and donates it to those in need.,https://blueprint.uchicago.edu/organization/frn
133,Food Run Project,Service & Philanthropy,Delivers meals to unhoused individuals in the Chicago community.,https://blueprint.uchicago.edu/organization/food-run
134,Formula SAE,Academic & Professional,Designs and builds a formula-style race car for national competitions.,https://blueprint.uchicago.edu/organization/formula-sae
135,French Club,Cultural & International,Promotes French language and Francophone culture at UChicago.,https://blueprint.uchicago.edu/organization/french-club
136,Friends of Washington Park Youth Program,Service & Philanthropy,Mentors and supports youth in the Washington Park neighborhood.,https://blueprint.uchicago.edu/organization/fwpyp
137,Furries at UChicago,Social & Recreation,Social community for students interested in anthropomorphic art and fandom.,https://blueprint.uchicago.edu/organization/furries
138,Game Design,Social & Recreation,Designs and develops tabletop and digital games.,https://blueprint.uchicago.edu/organization/game-design
139,Game Music Ensemble,Arts & Music,Performs video game music in concert arrangements.,https://blueprint.uchicago.edu/organization/gme
140,Gargoyle Consulting Club,Academic & Professional,Student consulting organization advising nonprofit and social-impact clients.,https://blueprint.uchicago.edu/organization/gargoyle
141,Gateway to the Great Outdoors,Sports & Recreation,"Organizes outdoor recreation trips like hiking, camping, and climbing.",https://blueprint.uchicago.edu/organization/gateway
142,GeneHackers,Academic & Professional,"Explores synthetic biology, genetic engineering, and biotechnology.",https://blueprint.uchicago.edu/organization/genehackers
143,Generations,Service & Philanthropy,Intergenerational program connecting students with senior community members.,https://blueprint.uchicago.edu/organization/generations
144,German Club,Cultural & International,Promotes German language and culture at UChicago.,https://blueprint.uchicago.edu/organization/german-club
145,Go Club,Social & Recreation,Plays and studies the ancient strategy board game Go.,https://blueprint.uchicago.edu/organization/go-club
146,Graduate Christian Fellowship,Spiritual & Religious,Christian community and fellowship for graduate students.,https://blueprint.uchicago.edu/organization/gcf
147,Grappling,Sports & Recreation,"Practices submission wrestling, Brazilian jiu-jitsu, and grappling sports.",https://blueprint.uchicago.edu/organization/grappling
148,Groove Theory,Arts & Music,Hip-hop and urban dance performance group.,https://blueprint.uchicago.edu/organization/groove-theory
149,Guild of Change Ringers,Arts & Music,Practices English change ringing on church bells.,https://blueprint.uchicago.edu/organization/guild
150,Gymnastics Club,Sports & Recreation,Recreational and competitive gymnastics for all levels.,https://blueprint.uchicago.edu/organization/gymnastics
151,Harris Community Action,Service & Philanthropy,Connects Harris School students with community-based policy projects.,https://blueprint.uchicago.edu/organization/hca
152,Health Professions Recruitment and Exposure Program,Health & Wellness,Exposes underrepresented minority youth to health careers.,https://blueprint.uchicago.edu/organization/hprep
153,Hellenic Student Association,Cultural & International,Celebrates Greek culture and connects Hellenic students at UChicago.,https://blueprint.uchicago.edu/organization/hellenic
154,High Fidelity Music Collective,Arts & Music,Promotes independent and alternative music appreciation and discovery.,https://blueprint.uchicago.edu/organization/high-fidelity
155,Hindu Sangam,Spiritual & Religious,Hindu cultural and spiritual community at UChicago.,https://blueprint.uchicago.edu/organization/hindu-sangam
156,Hispanic and Luso-Brazilian Student Committee,Cultural & International,Supports Hispanic and Luso-Brazilian students and promotes Ibero-American culture.,https://blueprint.uchicago.edu/organization/hlbsc
157,Hong Kong Student Association,Cultural & International,Connects students from Hong Kong and promotes Hong Kong culture.,https://blueprint.uchicago.edu/organization/hksa
158,HOPES 4 Foundations,Service & Philanthropy,Service organization focused on community development and youth empowerment.,https://blueprint.uchicago.edu/organization/hopes
159,Ice Hockey (Men's),Sports & Recreation,Competitive men's club ice hockey team.,https://blueprint.uchicago.edu/organization/mens-hockey
160,Ice Hockey (Women's),Sports & Recreation,Competitive women's club ice hockey team.,https://blueprint.uchicago.edu/organization/womens-hockey
161,Impact Scholars Institute,Academic & Professional,Supports first-generation and low-income students in professional development.,https://blueprint.uchicago.edu/organization/impact-scholars
162,Indonesian Student Association at The University of Chicago,Cultural & International,Promotes Indonesian culture and community for Indonesian students.,https://blueprint.uchicago.edu/organization/isa
163,Institute of Politics,Political & Social,Engages students in public service and political discourse through programs and fellowships.,https://blueprint.uchicago.edu/organization/iop
164,International Leadership Council,Campus Governance,Coordinates international student organizations on campus.,https://blueprint.uchicago.edu/organization/ilc
165,International Student Organization,Cultural & International,Supports international students and promotes cross-cultural exchange.,https://blueprint.uchicago.edu/organization/iso
166,Jade Chinese Music Ensemble,Arts & Music,Performs traditional and contemporary Chinese music.,https://blueprint.uchicago.edu/organization/jade
167,Japanese Student Association,Cultural & International,Promotes Japanese culture and connects Japanese students at UChicago.,https://blueprint.uchicago.edu/organization/jsa
168,JGrads Chabad at UChicago,Spiritual & Religious,Chabad Jewish outreach for graduate students at UChicago.,https://blueprint.uchicago.edu/organization/jgrads-chabad
169,Joint Research Safety Initiative,Academic & Professional,Promotes lab and research safety standards among student researchers.,https://blueprint.uchicago.edu/organization/jrsi
170,Judo Club,Sports & Recreation,"Practices judo, a Japanese martial art and Olympic sport.",https://blueprint.uchicago.edu/organization/judo
171,Jugglers Enriching Lives Like Yours,Social & Recreation,Teaches and performs juggling and circus arts.,https://blueprint.uchicago.edu/organization/jelly
172,Kababayan,Cultural & International,Filipino cultural organization building community and celebrating Filipino heritage.,https://blueprint.uchicago.edu/organization/kababayan
173,Kappa Theta Pi,Academic & Professional,Professional technology fraternity for students in tech fields.,https://blueprint.uchicago.edu/organization/ktp
174,Kendo Club,Sports & Recreation,"Practices kendo, traditional Japanese sword-fighting martial art.",https://blueprint.uchicago.edu/organization/kendo
175,"Kheyal, Bengali Student Association",Cultural & International,"Celebrates Bengali language, culture, and arts at UChicago.",https://blueprint.uchicago.edu/organization/kheyal
176,Kitchen Sink,Arts & Music,Experimental and avant-garde theater and performance group.,https://blueprint.uchicago.edu/organization/kitchen-sink
177,Kojo Daiko,Arts & Music,Japanese taiko drumming ensemble.,https://blueprint.uchicago.edu/organization/kojo-daiko
178,Korean Students Organization,Cultural & International,Promotes Korean culture and community for Korean students at UChicago.,https://blueprint.uchicago.edu/organization/kso
179,Kreyòl Club,Cultural & International,Celebrates Haitian Creole culture and supports Haitian students.,https://blueprint.uchicago.edu/organization/kreyol
180,Lacrosse (Men's),Sports & Recreation,Competitive men's club lacrosse team.,https://blueprint.uchicago.edu/organization/mens-lacrosse
181,Latin American Matters,Academic & Professional,"Academic organization studying Latin American politics, culture, and society.",https://blueprint.uchicago.edu/organization/lam
182,Latine Law Students Association,Academic & Professional,Supports Latine law students and promotes diversity in the legal profession.,https://blueprint.uchicago.edu/organization/llsa
183,Latino Medical Student Association,Health & Wellness,Supports Latino medical students and promotes health equity in Latino communities.,https://blueprint.uchicago.edu/organization/lmsa
184,Law and Economics Society,Academic & Professional,Studies the intersection of law and economic analysis.,https://blueprint.uchicago.edu/organization/law-econ
185,Law of the Land,Academic & Professional,Examines legal issues affecting underrepresented communities.,https://blueprint.uchicago.edu/organization/lotl
186,Law Students for Israel,Political & Social,Law student organization supporting Israel and related legal issues.,https://blueprint.uchicago.edu/organization/lsi
187,Law Women's Caucus,Academic & Professional,Supports women in law and advocates for gender equity in the legal field.,https://blueprint.uchicago.edu/organization/law-womens
188,Lawtines+,Academic & Professional,Latino law student organization supporting community and professional development.,https://blueprint.uchicago.edu/organization/lawtines
189,Le Vorris & Vox Circus,Arts & Music,Student circus arts organization performing acrobatics and aerial arts.,https://blueprint.uchicago.edu/organization/circus
190,Life of the Mic,Arts & Music,Spoken word poetry and open mic performance organization.,https://blueprint.uchicago.edu/organization/life-of-mic
191,Lutheran Campus Ministry,Spiritual & Religious,Lutheran faith community for UChicago students.,https://blueprint.uchicago.edu/organization/lutheran
192,Made by Asian Minds in Action,Academic & Professional,Empowers Asian students through entrepreneurship and creative projects.,https://blueprint.uchicago.edu/organization/mama
193,Major Activities Board,Campus Governance,Brings major entertainment acts and large-scale events to campus.,https://blueprint.uchicago.edu/organization/mab
194,Malaysian Students Association,Cultural & International,Promotes Malaysian culture and builds community for Malaysian students.,https://blueprint.uchicago.edu/organization/msa-malaysia
195,Maria Shelters Resource Connection Program,Service & Philanthropy,Connects domestic violence shelter residents with community resources.,https://blueprint.uchicago.edu/organization/maria-shelters
196,Maroon Capital,Academic & Professional,Student-run venture capital and investment fund.,https://blueprint.uchicago.edu/organization/maroon-capital
197,Maroon TV,Arts & Music,Student-run television and video production organization.,https://blueprint.uchicago.edu/organization/maroon-tv
198,Maroons for Israel,Political & Social,Student organization supporting Israel and Jewish causes at UChicago.,https://blueprint.uchicago.edu/organization/maroons-israel
199,Masaryk Club,Cultural & International,Promotes Czech and Slovak culture and history at UChicago.,https://blueprint.uchicago.edu/organization/masaryk
200,Math Club,Academic & Professional,Mathematics community for undergraduates with talks and competitions.,https://blueprint.uchicago.edu/organization/math-club
201,MECHA,Political & Social,Chicano student organization promoting Latino empowerment and education.,https://blueprint.uchicago.edu/organization/mecha
202,Med-ucate,Health & Wellness,Educates underserved youth about health topics and medical careers.,https://blueprint.uchicago.edu/organization/med-ucate
203,MEDLIFE,Health & Wellness,Provides healthcare and education to low-income communities internationally.,https://blueprint.uchicago.edu/organization/medlife
204,Medusa,Arts & Music,Student creative writing and literary arts collective.,https://blueprint.uchicago.edu/organization/medusa
205,Memoryhouse,Arts & Music,Photography and visual storytelling collective.,https://blueprint.uchicago.edu/organization/memoryhouse
206,Men's Rugby,Sports & Recreation,Competitive men's club rugby union team.,https://blueprint.uchicago.edu/organization/mens-rugby
207,Men's/Coed Squash Club,Sports & Recreation,Recreational and competitive squash for all levels.,https://blueprint.uchicago.edu/organization/squash
208,Middle Eastern Studies Student Association,Academic & Professional,Academic organization for students studying the Middle East.,https://blueprint.uchicago.edu/organization/messa
209,Midwave Radio,Arts & Music,UChicago's student-run online radio station.,https://blueprint.uchicago.edu/organization/midwave
210,Midway Ventures,Academic & Professional,Student entrepreneurship and startup incubator.,https://blueprint.uchicago.edu/organization/midway-ventures
211,Mindscapes,Health & Wellness,Mental health advocacy and neuroscience education organization.,https://blueprint.uchicago.edu/organization/mindscapes
212,Minorities in Public Policy Studies,Political & Social,Supports underrepresented minorities in public policy education.,https://blueprint.uchicago.edu/organization/mpps
213,Mock Trial Team,Academic & Professional,Competes in intercollegiate mock trial competitions.,https://blueprint.uchicago.edu/organization/mock-trial
214,MODA,Arts & Music,Student fashion design and style organization.,https://blueprint.uchicago.edu/organization/moda
215,Model United Nations of the University of Chicago,Academic & Professional,Hosts UChicago's Model UN conference for high school students.,https://blueprint.uchicago.edu/organization/munuc
216,"Model United Nations Team, U of C",Academic & Professional,Competitive collegiate Model UN team.,https://blueprint.uchicago.edu/organization/mun-team
217,Moneythink,Service & Philanthropy,Teaches financial literacy to Chicago high school students.,https://blueprint.uchicago.edu/organization/moneythink
218,Moot Court Team,Academic & Professional,Competes in intercollegiate appellate moot court competitions.,https://blueprint.uchicago.edu/organization/moot-court
219,Muslim Medical Student Association,Health & Wellness,Supports Muslim medical students and promotes culturally competent care.,https://blueprint.uchicago.edu/organization/mmsa
220,Muslim Students Association,Spiritual & Religious,Islamic faith community and cultural organization at UChicago.,https://blueprint.uchicago.edu/organization/msa
